Week,Average
317,299.616070484494
318,306.67204349825136
319,310.24345254080265
320,311.2788362232494
321,307.53228958879697
322,303.12850545423316
323,300.94282523068
324,302.6396045450519
325,303.6942557218126
326,302.35061284362524
327,303.35984081591437
328,307.53595406065824
329,303.15113597578096
330,306.2821587572227
331,308.10277167896544
332,305.7858575142924
333,305.51169064452137
334,304.3958228126728
335,308.001272606931
336,305.7157624478802
337,309.48551100793634
338,315.36516195027616
339,310.875786443939
340,306.23779719416103
341,304.6164306820141
342,304.53335725031775
343,305.7964579486475
344,307.40511880338425
345,304.3044957321749
346,302.9274916999837
347,305.8038161835418
348,308.33189004560296
349,312.08740738050216
350,313.7487085304105
351,313.1827752106209
352,308.18159744796185
353,311.14404827213616
354,312.3813363734095
355,316.65156286491555
356,313.84020062248885
357,313.001729214763
358,309.3073576054542
359,311.62354767358545
360,314.32139611331996
361,320.2307693161695
362,322.42235375641644
363,322.95577644832366
364,324.2219326247324
365,329.39046975515043
366,327.4926531239742
367,331.9267045389801
368,332.49382957319546
369,334.3875637645622
370,338.9740613652894
371,339.8170094368366
372,338.85560038576284
373,337.5272763855681
374,336.70106843470916
375,339.3114211387282
376,340.19699944737147
377,341.6780168031504
378,341.43958533760076
379,340.71452163223785
380,340.50773924192634
381,338.38960332958527
382,342.09423990067324
383,346.39044474138717
384,341.8962736293794
385,337.64615079909026
386,340.13151948990685
387,338.69530917994723
388,339.100922374491
389,340.5358450240379
390,343.6174822470473
391,344.4415854800523
392,342.7657019183766
393,341.80598944373133
394,338.1224802688712
395,337.65833107312494
396,342.1071079300737
397,333.53851923250556
398,343.3490846179887
399,333.48061179864135
400,325.8722679206398
401,318.54497677408784
402,322.8814429990173
403,317.5655118314351
404,310.652136993073
405,308.0944706950368
406,312.0432532702625
407,309.00092768929466
408,315.2346299825902
409,310.2840932716655
410,313.7876604365129
411,307.88743333850493
412,308.7142017685393
413,304.60321818230034
414,305.1520880591397
415,304.4166682513446
416,302.861823187763
417,306.4829077044682
418,303.47563088171
419,300.6679297516053
420,301.29211166459083
421,301.2148815562473
422,302.3109203377935
423,300.8299062623969
424,299.66380650928744
425,303.91510461871496
426,300.06974668961345
427,297.3679846754542
428,293.08069590808077
429,290.09109017098285
430,287.7687627833694
431,286.28633124082694
432,284.6455382810602
433,286.6342023871312
434,285.81226146541457
435,285.9251753061452
436,283.33863731992244
437,285.48534153018704
438,284.2617752257315
439,281.5082257658194
440,282.94870999581934
441,282.8280655539435
442,280.816127289296
443,277.0797936232189
444,275.58178349191695
445,271.63910820228455
446,269.27177661071767
447,269.24548111394057
448,268.1762653826713
449,265.65551638586476
450,263.599044137762
451,264.3402595998138
452,266.13898164807006
453,268.00451175531623
454,267.62983715360224
455,264.6824254157542
456,260.51184777079675
457,261.0873215274844
458,259.79073337896205
459,260.9840276632548
460,264.2319251474407
461,261.370023341837
462,264.8997641372157
463,270.94313771535207
464,269.0441374022072
465,266.5585197691181
466,264.39173870446825
467,260.08673531944123
468,254.880076013519
469,252.2609745890462
470,253.4017194938819
471,255.23911189172054
472,255.76354333080536
473,255.72640398623122
474,257.1909369758827
475,257.7462922615138
476,256.91750511967683
477,254.4534407436276
478,255.56657787861286
479,257.5686964316816
480,259.2253086382277
481,258.94060696926556
482,258.5994686858543
483,258.41000423070835
484,259.6975753565781
485,261.1550285259127
486,259.9594491973159
487,258.33005859003043
488,259.3889706619294
489,256.78213876912776
490,258.33695800844015
491,261.56125555485266
492,265.8555678558415
493,263.42346032350275
494,261.42882497198457
495,260.15929701711775
496,258.8857647821495
497,260.5833493524881
498,258.9340494105887
499,261.10058563927464
500,257.04395791024
501,262.1987403251475
502,257.1758883466633
503,250.12880433770565
504,245.89866583233427
505,241.91178613255943
506,243.61475205231602
507,244.42482588849984
508,240.2186580662857
509,243.08041065978642
510,242.0635627267383
511,242.0073068536739
512,239.40905592617676
513,236.79430003250164
514,235.46004994252135
515,234.11575260637835
516,232.49384840982773
517,230.19303150289218
518,230.8865301026487
519,229.03430890930468
520,227.99603049058504
521,227.56001183359726
522,229.63296043615705
523,231.7473966663098
524,230.37402426115807
525,230.34173863509352
526,228.4607426801752
527,231.84068794721583
528,229.63772224664635
529,227.71690148729058
530,225.04749493548493
531,220.76729222645872
532,217.63257739536635
533,216.07349559043124
534,215.2740806006839
535,216.74513298450015
536,212.80571966177803
537,216.24658597918037
538,213.42312329673763
539,215.81050935663006
540,216.51017911914033
541,215.19396475357726
542,214.37966234879448
543,214.1451377743255
544,214.9546596440006
545,213.40902032828674
546,211.00854243801786
547,207.76519239195724
548,211.1557897460842
549,213.0858239617546
550,211.6634764569672
551,209.57832829785974
552,209.41048883186622
553,207.59587100996487
554,209.34744648740653
555,207.18216667984547
556,206.21144908654654
557,205.55106976140743
558,204.0528411553633
559,201.04461417716243
560,204.58175374619867
561,208.82430354419003
562,209.7903706316225
563,209.64446165155806
564,206.64359226999687
565,205.30658358714425
566,203.26575549590916
567,206.33861033966167
568,203.77108534310108
569,206.48513993475925
570,204.89126611470832
571,200.49344283379872
572,195.55342101079776
573,198.85753877443048
574,195.4532838048168
575,197.88273468355752
576,195.26408506483511
577,200.6729948033877
578,195.51166130320328
579,194.99547185577865
580,191.73120083930792
581,194.56689453805606
582,191.96198380390905
583,192.42358026667412
584,192.04771869415637
585,191.37872787517048
586,191.0592252614871
587,191.54983872116912
588,190.5124740062901
589,189.13281032351603
590,188.25690799994348
591,187.02900450579313
592,184.2900421600129
593,188.3560410568786
594,183.7020224074282
595,184.52073666786498
596,181.79436508134646
597,177.6929170061945
598,180.4595175990588
599,177.22188936009104
600,180.5737560822519
601,179.5661173019422
602,178.8279625139508
603,178.60231153546422
604,177.65493744929637
605,177.79759013742452
606,178.64012694793394
607,179.1538921214654
608,180.1934251425009
609,179.75194735363857
610,181.6802201336762
